epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,19.3249,0.55617,0.96295,0.96952,0.66485,0.69728,0.85515,0.60353,1.62001,1.49668,1.35909,2.82082e-05,2.82082e-05,2.82082e-05
40,19.7664,0.81881,1.03416,1.31958,0.66485,0.69728,0.85515,0.60353,1.62001,1.49668,1.35909,2.84911e-05,2.84911e-05,2.84911e-05
41,20.2169,0.72783,0.94509,1.06879,0.68011,0.69103,0.82033,0.55505,1.57797,1.52607,1.34555,2.87504e-05,2.87504e-05,2.87504e-05
42,20.6451,0.88892,1.30433,1.21312,0.68011,0.69103,0.82033,0.55505,1.57797,1.52607,1.34555,2.89861e-05,2.89861e-05,2.89861e-05
43,21.1023,0.65101,1.15454,1.16285,0.71842,0.68765,0.81855,0.52416,1.55736,1.57596,1.3338,2.91983e-05,2.91983e-05,2.91983e-05
44,21.5469,0.98919,2.18116,1.37549,0.71842,0.68765,0.81855,0.52416,1.55736,1.57596,1.3338,2.93869e-05,2.93869e-05,2.93869e-05
45,21.9926,0.77198,1.27826,1.22722,0.58159,0.51991,0.60446,0.39851,1.55742,1.6424,1.33076,2.9552e-05,2.9552e-05,2.9552e-05
46,22.4339,0.93831,1.47922,1.27248,0.58159,0.51991,0.60446,0.39851,1.55742,1.6424,1.33076,2.96935e-05,2.96935e-05,2.96935e-05
47,22.8854,1.15411,1.52233,1.46549,0.58562,0.50667,0.54842,0.34908,1.65887,1.69808,1.37497,2.98114e-05,2.98114e-05,2.98114e-05
48,23.3159,0.91927,0.78218,1.3275,0.58562,0.50667,0.54842,0.34908,1.65887,1.69808,1.37497,2.99058e-05,2.99058e-05,2.99058e-05
49,23.8105,0.73731,0.9637,1.19422,0.58064,0.50398,0.52426,0.32324,1.66385,1.72256,1.38052,2.99766e-05,2.99766e-05,2.99766e-05
50,24.2719,0.78883,0.99226,1.18689,0.58064,0.50398,0.52426,0.32324,1.66385,1.72256,1.38052,3.00238e-05,3.00238e-05,3.00238e-05
51,24.7895,0.86,1.00736,1.19598,0.74971,0.50346,0.51565,0.31496,1.67906,1.77036,1.38527,3.00475e-05,3.00475e-05,3.00475e-05
52,25.2152,0.7388,1.51738,1.11277,0.74971,0.50346,0.51565,0.31496,1.67906,1.77036,1.38527,3.00476e-05,3.00476e-05,3.00476e-05
53,25.6435,0.83685,0.9745,1.18921,0.74971,0.50346,0.51565,0.31496,1.67906,1.77036,1.38527,3.00242e-05,3.00242e-05,3.00242e-05
54,26.1356,0.74069,0.91246,1.28072,0.75357,0.49192,0.50751,0.30983,1.69968,1.8116,1.39665,2.99772e-05,2.99772e-05,2.99772e-05
55,26.593,0.64661,1.23103,1.0658,0.75357,0.49192,0.50751,0.30983,1.69968,1.8116,1.39665,2.99066e-05,2.99066e-05,2.99066e-05
56,27.0467,0.92489,0.97347,1.39207,0.75357,0.49192,0.50751,0.30983,1.69968,1.8116,1.39665,2.98125e-05,2.98125e-05,2.98125e-05
57,27.5493,0.72438,0.71357,1.11157,0.77846,0.4962,0.50838,0.29116,1.73762,1.85045,1.41066,2.96948e-05,2.96948e-05,2.96948e-05
58,27.9853,0.83555,0.64362,1.27791,0.77846,0.4962,0.50838,0.29116,1.73762,1.85045,1.41066,2.95535e-05,2.95535e-05,2.95535e-05
59,28.4404,0.92412,0.84775,1.14358,0.77846,0.4962,0.50838,0.29116,1.73762,1.85045,1.41066,2.93887e-05,2.93887e-05,2.93887e-05
